,phrase,count,count_no_rt,date,freq,freq_no_rt,odds,odds_no_rt,rank,rank_no_rt
0,in the open,6.0,6.0,2008-09-09,2.3941964677621445e-06,2.3955337668450937e-06,417676.6666666667,417443.50000000006,30544.5,30503.0
1,in the open,7.0,7.0,2008-09-10,1.050643887106213e-06,1.0511075520275714e-06,951797.2857142857,951377.4285714286,75368.0,75312.0
2,in the open,3.0,3.0,2008-09-12,4.446604506100074e-07,4.4484315571734666e-07,2248907.0,2247983.3333333335,368448.5,368109.5
3,in the open,8.0,8.0,2008-09-14,1.2319579754495415e-06,1.2322242031937711e-06,811716.0,811540.625,62712.0,62678.0
4,in the open,4.0,4.0,2008-09-15,5.72720793172481e-07,5.729451572598382e-07,1746051.4999999998,1745367.75,203259.0,203095.0
5,in the open,12.0,12.0,2008-09-16,1.7551729701022372e-06,1.7558905371986145e-06,569744.4166666667,569511.5833333333,35146.5,35139.0
6,in the open,11.0,11.0,2008-09-17,1.6180946523589839e-06,1.6188128421305755e-06,618010.818181818,617736.6363636364,39445.0,39420.5
7,in the open,8.0,8.0,2008-09-18,1.13735413610916e-06,1.1377921796983455e-06,879233.6249999998,878895.1250000002,66601.5,66549.0
8,in the open,7.0,7.0,2008-09-19,9.746887261932278e-07,9.750755370124049e-07,1025968.5714285715,1025561.5714285714,82340.5,82301.5
9,in the open,12.0,12.0,2008-09-20,1.8005689797976158e-06,1.8011697697069362e-06,555380.0000000001,555194.75,36020.5,36001.0
10,in the open,4.0,4.0,2008-09-21,5.938149717084279e-07,5.9405334777279e-07,1684026.2500000002,1683350.5,217296.0,217098.0
11,in the open,17.0,17.0,2008-09-22,2.3819495304126616e-06,2.383122891900004e-06,419824.1764705882,419617.4705882352,23552.5,23539.0
12,in the open,6.0,6.0,2008-09-23,8.664019712377649e-07,8.667383940839905e-07,1154198.6666666667,1153750.6666666665,102523.0,102454.5
13,in the open,5.0,5.0,2008-09-24,7.251628461945557e-07,7.255537716606823e-07,1379000.5999999999,1378257.5999999999,135291.5,135167.0
14,in the open,4.0,4.0,2008-09-25,5.662737811983232e-07,5.665423059093336e-07,1765930.2499999998,1765093.2500000002,218662.5,218427.5
15,in the open,6.0,6.0,2008-09-26,8.235719468334894e-07,8.240370509032408e-07,1214223.0,1213537.6666666665,113573.5,113468.5
16,in the open,5.0,5.0,2008-09-27,7.18113567362715e-07,7.183020488847642e-07,1392537.4,1392172.0,157230.0,157135.0
17,in the open,8.0,8.0,2008-09-28,1.1798247606283038e-06,1.1801324698697428e-06,847583.5000000001,847362.5,68442.5,68409.0
18,in the open,8.0,8.0,2008-10-01,1.1054296632377621e-06,1.1059726393428754e-06,904625.6249999999,904181.4999999999,69986.0,69929.0
