,word1,word2,word3,count
0,where,she,was,11
1,the,country,has,11
2,tell,us,about,11
3,and,now,we,11
4,and,this,year,11
5,years,of,experience,11
6,day,in,the,11
7,i,ve,had,11
8,best,of,the,11
9,company,in,the,11
10,nt,the,only,11
11,but,when,i,11
12,new,year,s,11
13,point,out,that,11
14,up,to,an,11
15,into,the,world,11
16,will,no,longer,11
17,to,provide,you,11
18,in,the,government,11
19,that,he,said,11
20,at,least,the,11
21,new,york,and,11
22,by,the,us,11
23,world,championships,in,11
24,i,thought,i,11
25,next,year,s,11
26,and,chairman,of,11
27,up,by,the,11
28,more,than,200,11
29,able,to,see,11
30,they,ll,be,11
31,of,the,future,11
32,of,the,movie,11
33,to,say,about,11
34,in,a,good,11
35,more,in,the,11
36,looks,like,it,11
37,a,key,role,11
38,of,the,real,11
39,for,seven,years,11
40,but,they,re,11
41,the,matter,to,11
42,if,there,are,11
43,have,been,arrested,11
44,the,liverpool,echo,11
45,at,least,as,11
46,continues,to,be,11
47,no,need,to,11
48,to,meet,its,11
49,to,add,to,11
50,coming,out,of,11
51,years,ago,to,11
52,period,last,year,11
53,government,on,the,11
54,of,the,bank,11
55,are,at,the,11
56,to,go,out,11
57,about,how,the,11
58,who,led,the,11
59,restrictions,all,rights,11
60,reuters,and,the,11
61,thomson,reuters,logo,11
62,reuters,logo,are,11
63,trademarks,of,thomson,11
64,reuters,and,its,11
65,and,its,affiliated,11
66,its,affiliated,companies,11
67,right,in,the,11
68,the,journal,of,11
69,study,found,that,11
70,found,to,be,11
71,the,significance,of,11
72,this,article,share,11
73,all,the,other,11
74,there,are,people,11
75,are,designed,to,11
76,went,into,the,11
77,to,get,him,11
78,and,wanted,to,11
79,20,years,ago,11
80,takeover,of,the,11
81,only,in,the,11
82,very,close,to,11
83,best,in,the,11
84,ll,want,to,11
85,want,to,keep,11
86,to,worry,about,11
87,what,you,are,11
88,one,of,these,11
89,are,one,of,11
90,the,world,a,11
91,lot,of,time,11
92,what,i,was,11
93,as,a,way,11
94,and,you,know,11
95,been,a,long,11
96,m,not,going,11
97,what,we,do,11
98,might,not,be,11
99,in,the,open,11
100,its,way,to,11
101,have,no,idea,11
102,end,of,a,11
103,time,with,the,11
104,is,an,important,11
105,rule,of,law,11
106,of,today,s,11
107,a,brand,new,11
108,to,put,on,11
109,but,most,of,11
110,each,of,these,11
111,kind,of,a,11
112,to,submit,a,11
113,of,the,situation,11
114,have,to,get,11
115,i,ve,ever,11
116,on,one,of,11
117,when,they,re,11
118,i,know,i,11
119,s,the,only,11
120,is,that,a,11
121,from,the,public,11
122,there,was,the,11
123,it,takes,to,11
124,if,any,of,11
125,of,the,court,11
126,two,of,them,11
127,s,easy,to,11
128,on,the,current,11
129,at,the,first,11
130,over,and,over,11
131,and,he,said,11
132,on,the,phone,11
133,to,reach,a,11
134,of,the,following,11
135,sign,up,for,11
136,the,site,and,11
137,than,half,of,11
138,but,it,also,11
139,with,a,better,11
140,to,remove,any,11
141,play,in,the,11
142,court,of,appeal,11
143,to,receive,the,11
144,out,from,the,11
145,we,would,be,11
146,of,the,information,11
147,are,interested,in,11
148,to,third,parties,11
149,on,the,web,11
150,trying,to,be,11
151,lost,in,the,11
152,said,with,a,11
153,to,raise,awareness,11
154,to,do,more,11
155,to,members,of,11
156,it,was,important,11
157,to,establish,the,11
158,is,no,doubt,11
159,our,terms,of,11
